"Xloc","Yloc","Zn"
2.386,3.077,92.56
2.544,1.972,73.56
2.807,3.347,64.8
4.308,1.933,90
4.383,1.081,88.4
3.244,4.519,75.2
3.925,3.785,72.4
2.116,3.498,72.08
1.842,0.989,56.4
1.709,1.843,75.6
3.8,4.578,143.2
2.699,1.199,66.8
3.033,4.384,37.88
4.232,1.588,47.6
4.75,1.369,70.8
2.341,4.135,46.8
2.827,3.667,25.2
3.043,4.692,31.32
1.687,1.174,39.56
2.235,2.386,114.28
3.122,1.695,120.28
2.219,2.774,71.76
3.185,2.092,90.68
3.514,5.119,145.6
4.459,2.624,82.8
4.339,1.473,86
4.92,1.417,66.4
3.648,3.78,78
2.916,4.916,46.8
3.127,1.691,123.84
3.441,4.719,151.6
3.336,4.613,81.6
3.649,2.674,58
3.875,4.924,141.6
2.612,4.114,47.6
2.34,4.141,53.2
3.811,1.318,80.8
3.661,3.788,76.4
4.34,3.736,80.8
2.972,0.988,219.32
2.286,3.068,67.16
1.813,2.116,110
3.379,4.308,83.6
1.965,2.807,102.44
3.559,4.009,101.6
2.267,4.189,57.2
2.965,1.002,149.2
3.12,1.469,50.4
3.454,4.654,70.8
1.071,1.567,65.6
3.573,3.542,76
3.331,4.609,101.6
3.541,1.739,59.36
3.303,3.963,90
3.316,2.987,83.2
1.879,1.171,44.4
1.122,2.267,74.4
4.423,1.078,87.6
1.241,1.155,39.6
1.706,1.848,83.2
3.26,5.42,82.4
4.081,0.897,50.4
3.077,2.926,64.8
3.406,4.741,120.8
3.699,3.8,74
1.619,2.883,58.8
3.196,1.814,92.36
3.447,4.733,108
3.009,4.738,39.4
3.452,4.736,148.4
2.908,1.263,84.32
4.578,1.512,77.6
3.512,5.124,136.8
3.312,2.991,72.8
2.159,2.041,81.6
4.742,1.381,63.6
3.592,4.027,74.4
3.152,3.272,94
4.781,1.375,58.8
2.319,2.405,125.4
3.617,2.084,79.6
2.278,0.929,46.8
3.792,2.695,52.4
4.113,2.7,65.2
3.043,4.698,39.8
3.271,2.16,104.36
1.433,1.525,75.2
3.184,2.098,96.6
3.675,4.293,66
3.681,5.69,86
2.461,3.423,47.2
4.576,1.411,71.6
2.223,0.58,76
