"stn_name","year","month","day","daily_rainfall","stn_code"
"Yishun",2016,1,1,6.4,"S91"
"Yishun",2016,1,2,23.8,"S91"
"Yishun",2016,1,3,1.2,"S91"
"Yishun",2016,1,4,0.2,"S91"
"Yishun",2016,1,5,0,"S91"
"Yishun",2016,1,6,0,"S91"
"Yishun",2016,1,7,0,"S91"
"Yishun",2016,1,8,0,"S91"
"Yishun",2016,1,9,0,"S91"
"Yishun",2016,1,10,0,"S91"
"Yishun",2016,1,11,3.2,"S91"
"Yishun",2016,1,12,0,"S91"
"Yishun",2016,1,13,0,"S91"
"Yishun",2016,1,14,1.4,"S91"
"Yishun",2016,1,15,36.6,"S91"
"Yishun",2016,1,16,0.2,"S91"
"Yishun",2016,1,17,48.4,"S91"
"Yishun",2016,1,18,0.8,"S91"
"Yishun",2016,1,19,0.2,"S91"
"Yishun",2016,1,20,0.6,"S91"
"Yishun",2016,1,21,0.2,"S91"
"Yishun",2016,1,22,1.8,"S91"
"Yishun",2016,1,23,0.6,"S91"
"Yishun",2016,1,24,0,"S91"
"Yishun",2016,1,25,6.8,"S91"
"Yishun",2016,1,26,0.8,"S91"
"Yishun",2016,1,27,0,"S91"
"Yishun",2016,1,28,15.4,"S91"
"Yishun",2016,1,29,1.4,"S91"
"Yishun",2016,1,30,0,"S91"
"Yishun",2016,1,31,0,"S91"
"Whampoa",2016,1,1,2.2,"S123"
"Whampoa",2016,1,2,23.8,"S123"
"Whampoa",2016,1,3,2.2,"S123"
"Whampoa",2016,1,4,2.8,"S123"
"Whampoa",2016,1,5,0,"S123"
"Whampoa",2016,1,6,1.6,"S123"
"Whampoa",2016,1,7,0,"S123"
"Whampoa",2016,1,8,0,"S123"
"Whampoa",2016,1,9,7.8,"S123"
"Whampoa",2016,1,10,0,"S123"
"Whampoa",2016,1,11,3.6,"S123"
"Whampoa",2016,1,12,0.2,"S123"
"Whampoa",2016,1,13,0,"S123"
"Whampoa",2016,1,14,1.4,"S123"
"Whampoa",2016,1,15,12.2,"S123"
"Whampoa",2016,1,16,25.8,"S123"
"Whampoa",2016,1,17,3.2,"S123"
"Whampoa",2016,1,18,0.4,"S123"
"Whampoa",2016,1,19,5.8,"S123"
"Whampoa",2016,1,20,5.2,"S123"
"Whampoa",2016,1,21,0.4,"S123"
"Whampoa",2016,1,22,20.8,"S123"
"Whampoa",2016,1,23,6.4,"S123"
"Whampoa",2016,1,24,1.6,"S123"
"Whampoa",2016,1,25,4.8,"S123"
"Whampoa",2016,1,26,5.4,"S123"
"Whampoa",2016,1,27,0,"S123"
"Whampoa",2016,1,28,0,"S123"
"Whampoa",2016,1,29,0,"S123"
"Whampoa",2016,1,30,0,"S123"
"Whampoa",2016,1,31,2.2,"S123"
"Upper Thomson",2016,1,1,9.2,"S46"
"Upper Thomson",2016,1,2,27.8,"S46"
"Upper Thomson",2016,1,3,0.8,"S46"
"Upper Thomson",2016,1,4,2.4,"S46"
"Upper Thomson",2016,1,5,1,"S46"
"Upper Thomson",2016,1,6,0.6,"S46"
"Upper Thomson",2016,1,7,0,"S46"
"Upper Thomson",2016,1,8,0,"S46"
"Upper Thomson",2016,1,9,0.6,"S46"
"Upper Thomson",2016,1,10,0,"S46"
"Upper Thomson",2016,1,11,17.2,"S46"
"Upper Thomson",2016,1,12,0,"S46"
"Upper Thomson",2016,1,13,0,"S46"
"Upper Thomson",2016,1,14,6,"S46"
"Upper Thomson",2016,1,15,17.8,"S46"
"Upper Thomson",2016,1,16,5.2,"S46"
"Upper Thomson",2016,1,17,10,"S46"
"Upper Thomson",2016,1,18,24,"S46"
"Upper Thomson",2016,1,19,10.6,"S46"
"Upper Thomson",2016,1,20,3.2,"S46"
"Upper Thomson",2016,1,21,0.2,"S46"
"Upper Thomson",2016,1,22,28,"S46"
"Upper Thomson",2016,1,23,1.4,"S46"
"Upper Thomson",2016,1,24,0.2,"S46"
"Upper Thomson",2016,1,25,2.6,"S46"
"Upper Thomson",2016,1,26,1.6,"S46"
"Upper Thomson",2016,1,27,0,"S46"
"Upper Thomson",2016,1,28,1.8,"S46"
"Upper Thomson",2016,1,29,1,"S46"
"Upper Thomson",2016,1,30,0,"S46"
"Upper Thomson",2016,1,31,1.2,"S46"
"Upper Peirce Reservoir",2016,1,1,7,"S69"
"Upper Peirce Reservoir",2016,1,2,27.2,"S69"
"Upper Peirce Reservoir",2016,1,3,0.4,"S69"
"Upper Peirce Reservoir",2016,1,4,0.2,"S69"
"Upper Peirce Reservoir",2016,1,5,0,"S69"
"Upper Peirce Reservoir",2016,1,6,0,"S69"
"Upper Peirce Reservoir",2016,1,7,0,"S69"
"Upper Peirce Reservoir",2016,1,8,0,"S69"
"Upper Peirce Reservoir",2016,1,9,0,"S69"
"Upper Peirce Reservoir",2016,1,10,0,"S69"
"Upper Peirce Reservoir",2016,1,11,12.4,"S69"
"Upper Peirce Reservoir",2016,1,12,0,"S69"
"Upper Peirce Reservoir",2016,1,13,0,"S69"
"Upper Peirce Reservoir",2016,1,14,3.4,"S69"
"Upper Peirce Reservoir",2016,1,15,21.2,"S69"
"Upper Peirce Reservoir",2016,1,16,0,"S69"
"Upper Peirce Reservoir",2016,1,17,4.4,"S69"
"Upper Peirce Reservoir",2016,1,18,19.8,"S69"
"Upper Peirce Reservoir",2016,1,19,1.4,"S69"
"Upper Peirce Reservoir",2016,1,20,1.6,"S69"
"Upper Peirce Reservoir",2016,1,21,0.4,"S69"
"Upper Peirce Reservoir",2016,1,22,22.6,"S69"
"Upper Peirce Reservoir",2016,1,23,3.4,"S69"
"Upper Peirce Reservoir",2016,1,24,0,"S69"
"Upper Peirce Reservoir",2016,1,25,3.4,"S69"
"Upper Peirce Reservoir",2016,1,26,1.4,"S69"
"Upper Peirce Reservoir",2016,1,27,0,"S69"
"Upper Peirce Reservoir",2016,1,28,3.6,"S69"
"Upper Peirce Reservoir",2016,1,29,0.4,"S69"
"Upper Peirce Reservoir",2016,1,30,0,"S69"
"Upper Peirce Reservoir",2016,1,31,1.8,"S69"
"Ulu Pandan",2016,1,1,9.6,"S35"
"Ulu Pandan",2016,1,2,21.8,"S35"
"Ulu Pandan",2016,1,3,0,"S35"
"Ulu Pandan",2016,1,4,9.4,"S35"
"Ulu Pandan",2016,1,5,0.4,"S35"
"Ulu Pandan",2016,1,6,1,"S35"
"Ulu Pandan",2016,1,7,0,"S35"
"Ulu Pandan",2016,1,8,0,"S35"
"Ulu Pandan",2016,1,9,0,"S35"
"Ulu Pandan",2016,1,10,0,"S35"
"Ulu Pandan",2016,1,11,2.8,"S35"
"Ulu Pandan",2016,1,12,0,"S35"
"Ulu Pandan",2016,1,13,0,"S35"
"Ulu Pandan",2016,1,14,7.8,"S35"
"Ulu Pandan",2016,1,15,2.4,"S35"
"Ulu Pandan",2016,1,16,0,"S35"
"Ulu Pandan",2016,1,17,13.4,"S35"
"Ulu Pandan",2016,1,18,8.2,"S35"
"Ulu Pandan",2016,1,19,2.4,"S35"
"Ulu Pandan",2016,1,20,7.6,"S35"
"Ulu Pandan",2016,1,21,0.2,"S35"
"Ulu Pandan",2016,1,22,58.2,"S35"
"Ulu Pandan",2016,1,23,4,"S35"
"Ulu Pandan",2016,1,24,1.6,"S35"
"Ulu Pandan",2016,1,25,14,"S35"
"Ulu Pandan",2016,1,26,2,"S35"
"Ulu Pandan",2016,1,27,0,"S35"
"Ulu Pandan",2016,1,28,18.4,"S35"
"Ulu Pandan",2016,1,29,19.6,"S35"
"Ulu Pandan",2016,1,30,0,"S35"
"Ulu Pandan",2016,1,31,5.4,"S35"
"Tuas South",2016,1,1,15.4,"S115"
"Tuas South",2016,1,2,5,"S115"
"Tuas South",2016,1,3,0.2,"S115"
"Tuas South",2016,1,4,19,"S115"
"Tuas South",2016,1,5,0.2,"S115"
"Tuas South",2016,1,6,0.8,"S115"
"Tuas South",2016,1,7,0,"S115"
"Tuas South",2016,1,8,0,"S115"
"Tuas South",2016,1,9,0,"S115"
"Tuas South",2016,1,10,0,"S115"
"Tuas South",2016,1,11,7.4,"S115"
"Tuas South",2016,1,12,0.2,"S115"
"Tuas South",2016,1,13,7.6,"S115"
"Tuas South",2016,1,14,43,"S115"
"Tuas South",2016,1,15,22.4,"S115"
"Tuas South",2016,1,16,0,"S115"
"Tuas South",2016,1,17,7.4,"S115"
"Tuas South",2016,1,18,22.6,"S115"
"Tuas South",2016,1,19,22.6,"S115"
"Tuas South",2016,1,20,6.6,"S115"
"Tuas South",2016,1,21,0.2,"S115"
"Tuas South",2016,1,22,12.6,"S115"
"Tuas South",2016,1,23,0.8,"S115"
"Tuas South",2016,1,24,3.8,"S115"
"Tuas South",2016,1,25,13.8,"S115"
"Tuas South",2016,1,26,2,"S115"
"Tuas South",2016,1,27,0,"S115"
"Tuas South",2016,1,28,6.4,"S115"
"Tuas South",2016,1,29,31.8,"S115"
"Tuas South",2016,1,30,0.2,"S115"
"Tuas South",2016,1,31,29.6,"S115"
"Tuas",2016,1,1,19.4,"S89"
